Food_product,Land_use,Animal_Feed,Farm,Processing,Transport,Packging,Retail
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1
Maize (Meal),0.3,0,0.5,0.1,0.1,0.1,0
Rice,0,0,3.6,0.1,0.1,0.1,0.1
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0
Peas,0,0,0.7,0,0.1,0,0
Nuts,-2.1,0,2.1,0,0.1,0.1,0
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3
Tofu,1,0,0.5,0.8,0.2,0.2,0.3
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0
Tomatoes,0.4,0,0.7,0,0.2,0.1,0
Root Vegetables,0,0,0.2,0,0.1,0,0
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0
Bananas,0,0,0.3,0.1,0.3,0.1,0
Apples,0,0,0.2,0,0.1,0,0
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3
Eggs,0.7,2.2,1.3,0,0.1,0.2,0
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0
